timestamp,open,high,low,close,volume
2020-02-10,4.2900,4.3100,4.1700,4.2600,63073004
2020-02-07,4.2800,4.4200,4.2600,4.3700,102633861
2020-02-06,4.0100,4.2200,3.9500,4.2000,90176798
2020-02-05,4.0100,4.0300,3.9400,4.0300,27405558
2020-02-04,3.9200,3.9800,3.8900,3.9600,29694269
2020-02-03,3.9300,3.9350,3.8600,3.8800,31627280
2020-01-31,3.9200,3.9200,3.8600,3.8800,25605950
2020-01-30,3.8800,3.9600,3.8700,3.9600,23271231
2020-01-29,4.0000,4.0200,3.9000,3.9100,27724294
2020-01-28,3.9900,4.0700,3.9800,4.0200,23539255
2020-01-27,3.9400,3.9800,3.9000,3.9400,31953612
2020-01-24,4.0900,4.0900,4.0000,4.0500,29024536
2020-01-23,4.0600,4.0800,4.0200,4.0600,27068019
2020-01-22,4.1000,4.1400,4.0900,4.0900,19515932
2020-01-21,4.1600,4.1700,4.0900,4.1300,21245785
2020-01-17,4.2100,4.2200,4.1200,4.1400,28384228
2020-01-16,4.1300,4.2400,4.1300,4.2000,30461540
2020-01-15,4.0100,4.1000,4.0000,4.0600,21134700
2020-01-14,4.0200,4.0400,3.9900,4.0100,23327583
2020-01-13,4.1000,4.1100,4.0500,4.0600,29863034
2020-01-10,4.0400,4.0700,4.0200,4.0200,21241424
2020-01-09,4.0700,4.0800,4.0000,4.0100,25057001
2020-01-08,4.0200,4.0500,4.0100,4.0200,32083353
2020-01-07,3.9600,4.0100,3.9400,3.9500,36695671
2020-01-06,3.8300,3.9900,3.8200,3.9400,59893767
2020-01-03,3.8300,3.8650,3.8100,3.8100,25010138
2020-01-02,3.8400,3.8900,3.8200,3.8700,33098836
2019-12-31,3.7000,3.7300,3.6900,3.7100,14346287
2019-12-30,3.6500,3.7200,3.6300,3.6900,27043532
2019-12-27,3.6100,3.6300,3.6100,3.6300,9341696
2019-12-26,3.6300,3.6400,3.6200,3.6200,9053336
2019-12-24,3.6200,3.6400,3.6100,3.6300,6768314
2019-12-23,3.6100,3.6400,3.5900,3.6400,16349366
2019-12-20,3.6000,3.6100,3.5700,3.6100,21902254
2019-12-19,3.6100,3.6300,3.5700,3.5900,16346220
2019-12-18,3.6100,3.6200,3.5800,3.6000,16100000
2019-12-17,3.6300,3.6300,3.6000,3.6000,17658886
2019-12-16,3.5800,3.6000,3.5600,3.5900,13081923
2019-12-13,3.5800,3.6200,3.5200,3.5200,20458236
2019-12-12,3.5000,3.5800,3.4950,3.5700,23163969
2019-12-11,3.4500,3.4700,3.4400,3.4700,11820292
2019-12-10,3.4300,3.4500,3.4100,3.4200,17615098
2019-12-09,3.4300,3.4500,3.4100,3.4200,15634893
2019-12-06,3.4800,3.5100,3.4500,3.4800,15831722
2019-12-05,3.4500,3.5100,3.4400,3.4800,17145548
2019-12-04,3.4900,3.5300,3.4300,3.4500,33256047
2019-12-03,3.5000,3.5100,3.4400,3.4700,24839462
2019-12-02,3.5300,3.5400,3.4300,3.4600,23665163
2019-11-29,3.4800,3.5100,3.4700,3.5000,7059913
2019-11-27,3.4300,3.4800,3.4100,3.4600,16378008
2019-11-26,3.4550,3.4600,3.4100,3.4300,20520795
2019-11-25,3.4900,3.5050,3.4400,3.4700,20526833
2019-11-22,3.4000,3.4600,3.3950,3.4300,16676628
2019-11-21,3.3900,3.4000,3.3600,3.3800,20463577
2019-11-20,3.3800,3.3993,3.3500,3.3500,18567322
2019-11-19,3.4700,3.4700,3.4100,3.4300,30007293
2019-11-18,3.4400,3.4900,3.4400,3.4500,29076005
2019-11-15,3.3900,3.4700,3.3800,3.4500,28503271
2019-11-14,3.3800,3.4000,3.3300,3.3700,37153512
2019-11-13,3.4800,3.5000,3.4500,3.4700,23868844
2019-11-12,3.5100,3.5300,3.4850,3.5100,25814781
2019-11-11,3.5000,3.5700,3.5000,3.5300,39835804
2019-11-08,3.5600,3.5750,3.5200,3.5700,20833080
2019-11-07,3.5800,3.6100,3.5400,3.5700,25665225
2019-11-06,3.5900,3.6400,3.5400,3.5900,41300617
2019-11-05,3.5400,3.5700,3.5100,3.5400,38593159
2019-11-04,3.6200,3.6500,3.6000,3.6100,24430116
2019-11-01,3.6400,3.7000,3.6300,3.6600,29745280
2019-10-31,3.6700,3.6800,3.6300,3.6500,34397846
2019-10-30,3.5700,3.6500,3.5600,3.6500,53783465
2019-10-29,3.5300,3.6200,3.5000,3.5500,59691588
2019-10-28,3.6800,3.7000,3.5800,3.5900,82217399
2019-10-25,3.8300,3.8500,3.7500,3.7800,83732873
2019-10-24,4.0200,4.0900,3.8300,3.9000,251562445
2019-10-23,5.2300,5.2400,5.1000,5.1100,35008154
2019-10-22,5.2300,5.2400,5.1800,5.1800,18213839
2019-10-21,5.2500,5.2700,5.1800,5.2000,18426440
2019-10-18,5.2300,5.2350,5.1700,5.2000,34741647
2019-10-17,5.2800,5.2800,5.1500,5.2300,36381028
2019-10-16,5.0800,5.1000,5.0400,5.0900,17210471
2019-10-15,4.9900,5.0500,4.9800,5.0100,17325796
2019-10-14,5.0100,5.0300,4.9500,4.9500,26577204
2019-10-11,5.1100,5.1200,5.0000,5.0200,30406623
2019-10-10,4.9600,4.9800,4.9000,4.9400,26254724
2019-10-09,4.9400,4.9400,4.8900,4.9100,19139992
2019-10-08,4.9500,4.9600,4.8800,4.9000,14812522
2019-10-07,4.9000,4.9600,4.8900,4.9100,14035279
2019-10-04,4.8700,4.8900,4.8400,4.8900,13612375
2019-10-03,4.8100,4.8700,4.7500,4.8400,23307518
2019-10-02,4.8700,4.8700,4.8000,4.8200,31333301
2019-10-01,5.0600,5.0600,4.8700,4.9100,54154036
2019-09-30,5.0600,5.1057,5.0300,5.0600,16060831
2019-09-27,5.0500,5.0900,4.9900,5.0400,20225411
2019-09-26,5.0500,5.0500,4.9700,4.9900,15997606
2019-09-25,5.0500,5.0800,5.0100,5.0700,15817844
2019-09-24,5.1500,5.1600,5.0900,5.1000,25986217
2019-09-23,5.1600,5.1800,5.1400,5.1800,17473697
2019-09-20,5.2500,5.3250,5.2500,5.2900,23973612
2019-09-19,5.2200,5.2500,5.1500,5.1500,14188990
2019-09-18,5.1300,5.1700,5.1200,5.1400,11702717
